"tipo_vivienda","region","area_construccion_m2","nro_habitantes","uso_aire_acondicionado","uso_calefaccion","zona_entorno","nro_electrodomesticos","consumo_kwh_mensual","gasto_usd_mensual"
"casa","oriente",161.1,5,"no","no","residencial",8,189.1,27.61
"casa","sierra",93.7,6,"sí","no","residencial",8,324.7,36.96
"departamento","costa",57.1,5,"no","no","residencial",12,235,27.69
"casa","sierra",128.8,6,"no","no","comercial",6,175.7,24.21
"casa","sierra",109.9,4,"sí","sí","residencial",8,342.8,42.76
"departamento","costa",105,5,"no","no","residencial",7,150.8,21.26
"departamento","costa",50,3,"sí","no","residencial",6,245.7,32.74
"casa","sierra",127.4,6,"no","no","residencial",11,246.5,33.21
"casa","sierra",127.7,3,"no","sí","residencial",11,240.8,32.5
"casa","sierra",137.7,1,"no","no","residencial",4,82.7,12.04
"departamento","sierra",98.1,2,"sí","no","residencial",8,240.2,31.87
"condominio","sierra",102.2,1,"no","sí","comercial",2,208.5,33.5
"casa","sierra",86.9,5,"no","no","residencial",3,147.4,22.96
"casa","sierra",126.6,3,"no","sí","residencial",6,265.7,30.77
"condominio","costa",107.6,4,"sí","no","comercial",8,265.3,36.06
"casa","sierra",83,4,"no","sí","residencial",6,279.2,30.88
"departamento","costa",102.5,2,"sí","no","residencial",7,197.7,25.74
"casa","costa",122.2,5,"no","no","residencial",5,139.4,19.52
"casa","costa",97.7,2,"sí","no","comercial",10,242.6,37.34
"casa","oriente",125.5,4,"no","no","residencial",4,134.2,16.55
"casa","costa",139.1,5,"sí","no","industrial",7,319.2,51.53
"casa","sierra",131.7,2,"no","sí","industrial",6,238.6,40.59
"casa","costa",111.9,4,"sí","no","residencial",6,311.6,39.57
"departamento","oriente",127.2,4,"sí","no","residencial",7,230.4,25.51
"casa","sierra",116.3,4,"no","sí","residencial",7,274.2,32.17
"departamento","costa",86.6,5,"sí","no","industrial",8,306.2,49.48
"departamento","costa",89.5,4,"sí","no","residencial",5,276.1,32.65
"departamento","sierra",98.9,4,"sí","no","residencial",9,304,38.52
"casa","sierra",136.9,6,"no","no","residencial",6,154.7,20.97
"casa","costa",119.6,1,"sí","no","residencial",5,237.2,29.38
"departamento","costa",77.4,5,"sí","no","residencial",11,304.4,38.2
"casa","costa",98.4,4,"sí","no","residencial",7,279.8,33.26
"casa","costa",128.3,3,"sí","no","residencial",7,248.7,31.32
"casa","costa",134.3,6,"sí","no","residencial",9,336.7,41.04
"casa","oriente",111.6,3,"no","no","residencial",7,188.8,22.79
"casa","costa",137.1,4,"sí","no","comercial",11,288.8,42.74
"departamento","sierra",81.2,2,"no","no","comercial",11,172.7,24.97
"departamento","costa",90.5,5,"no","no","residencial",6,234.2,30.99
"departamento","sierra",65.2,4,"no","sí","residencial",9,201.3,23.09
"casa","sierra",141.4,3,"no","sí","residencial",6,237.6,26.01
"casa","costa",94.2,3,"sí","no","comercial",7,313.1,41.92
"condominio","sierra",142,5,"no","sí","residencial",8,263,33.8
"casa","costa",116.4,2,"sí","no","residencial",4,205.5,23.15
"casa","costa",91.9,7,"sí","no","residencial",9,336.2,38.52
"casa","costa",99.1,4,"sí","no","residencial",9,259.7,34.64
"casa","sierra",80,1,"no","no","residencial",8,85.7,16.91
"casa","sierra",115.9,2,"no","no","comercial",5,120,22.05
"casa","costa",123.8,2,"sí","no","residencial",8,180.4,23.77
"departamento","oriente",67.1,6,"no","no","industrial",6,172.3,29.22
"casa","costa",116.6,4,"sí","no","comercial",5,276.1,37.74
"departamento","oriente",54,5,"no","no","residencial",10,227.3,28.37
"casa","sierra",140.3,4,"no","no","comercial",9,184.9,27.32
"departamento","sierra",76.7,4,"no","sí","residencial",7,252.4,29.66
"casa","costa",125.7,1,"sí","no","residencial",6,222.3,32.16
"departamento","costa",122.4,3,"sí","no","residencial",7,276,37.12
"departamento","sierra",99.5,2,"no","sí","residencial",5,169,24.29
"casa","oriente",96.3,5,"no","no","comercial",7,180.1,26.04
"departamento","sierra",102.5,3,"sí","sí","residencial",7,365.5,46.29
"casa","sierra",86.6,5,"no","sí","residencial",7,253.2,28.7
"casa","sierra",177.4,5,"no","no","residencial",7,156.9,19.84
"departamento","costa",109.5,3,"sí","no","industrial",6,260,41.19
"casa","costa",88.8,4,"no","no","industrial",7,188.4,30.86
"departamento","oriente",63.2,6,"sí","no","industrial",8,318.8,50.41
"casa","costa",151,3,"no","no","residencial",9,188.7,22.64
"departamento","sierra",56.8,6,"no","sí","residencial",12,279,36.01
"condominio","sierra",148,4,"sí","no","residencial",7,301.1,36.21
"casa","costa",146.5,6,"sí","no","residencial",12,350.7,41.11
"casa","sierra",136.7,4,"no","sí","residencial",8,268.3,32.33
"departamento","costa",71,4,"sí","no","industrial",5,280.1,49.01
"casa","costa",153.4,5,"sí","no","residencial",7,245.9,33.04
"departamento","costa",83.6,5,"sí","no","residencial",10,363.8,40.81
"condominio","sierra",121.6,3,"sí","no","residencial",7,241.1,27.56
"casa","sierra",108.5,5,"no","no","residencial",10,239.9,30.95
"casa","oriente",136.3,2,"no","no","residencial",7,181.7,22.6
"departamento","costa",60.6,2,"no","no","residencial",3,83.9,17.19
"casa","costa",109.3,6,"no","no","residencial",6,186.1,22.14
"condominio","costa",96.4,5,"sí","no","residencial",12,314.1,35.49
"casa","costa",144.1,3,"sí","no","comercial",10,247.7,39.1
"casa","costa",123.7,2,"sí","no","residencial",8,260.7,31.26
"departamento","costa",70.9,6,"no","no","residencial",7,201.2,25.57
"departamento","oriente",59.1,1,"no","no","residencial",8,118.4,16.35
"casa","costa",105.3,4,"no","no","industrial",5,142.1,25.12
"casa","sierra",126.3,5,"no","no","residencial",11,236.5,27.4
"casa","sierra",127.2,2,"no","sí","residencial",8,240.2,33.13
"casa","sierra",114.3,4,"sí","sí","comercial",7,317.7,47.83
"casa","sierra",106.6,4,"no","no","residencial",7,224.9,27.85
"casa","costa",78.6,6,"sí","no","industrial",7,338.8,55.95
"casa","sierra",127.6,7,"sí","no","residencial",10,334.6,42.84
"casa","costa",112.5,5,"no","no","residencial",7,249,34.11
"condominio","costa",99.1,5,"sí","no","comercial",6,250.7,32.94
"casa","costa",117.2,3,"no","no","residencial",9,120.8,19.34
"casa","costa",79.1,4,"sí","no","residencial",8,204.8,29.91
"casa","sierra",118.2,2,"no","no","residencial",8,130.6,15.25
"departamento","costa",116.1,5,"no","no","residencial",6,167.7,22.91
"casa","costa",157,4,"sí","no","industrial",9,312.2,50.8
"departamento","sierra",50,5,"no","sí","residencial",10,322.8,36.04
"casa","costa",120.6,4,"sí","no","residencial",8,284.8,38.05
"casa","costa",78.4,5,"sí","no","industrial",6,277.7,44.38
"departamento","sierra",68.2,1,"no","sí","residencial",9,204.4,30.19
"casa","sierra",154.8,1,"sí","sí","comercial",6,332.2,49.82
"departamento","sierra",96.6,2,"no","sí","residencial",9,212.9,24.98
"casa","costa",113.1,4,"no","no","residencial",11,190.1,22.35
"casa","costa",112.1,5,"sí","no","residencial",9,283.5,37.61
"casa","sierra",118.4,2,"no","sí","residencial",7,209.5,24.9
"casa","costa",96.3,3,"sí","no","residencial",11,278.2,35.19
"casa","costa",122,5,"no","no","comercial",7,195.4,27.25
"departamento","sierra",63.2,4,"sí","no","residencial",10,301.4,34.89
"condominio","costa",72.9,3,"sí","no","comercial",8,245,38.12
"casa","costa",103.5,4,"sí","no","industrial",7,231.9,38.78
"condominio","oriente",120.9,3,"sí","no","residencial",4,299.6,36.94
"casa","costa",98.9,3,"sí","no","comercial",10,294.4,38.86
"condominio","sierra",80.9,2,"no","sí","residencial",9,264.3,30.15
"departamento","sierra",50,3,"no","sí","residencial",7,212.2,26.27
"casa","costa",130.8,5,"sí","no","residencial",9,265.1,32.23
"departamento","sierra",81.7,2,"no","sí","residencial",5,221.3,25.42
"casa","sierra",112.3,4,"no","no","residencial",9,156.3,24.72
"departamento","costa",98.1,6,"no","no","residencial",8,230.8,25.25
"casa","costa",120.4,3,"sí","no","residencial",8,283.5,33.37
"departamento","sierra",91.5,3,"no","sí","residencial",7,273.3,35.16
"casa","costa",111.6,3,"no","no","residencial",6,152.6,23.72
"casa","costa",107.3,1,"sí","no","residencial",7,218.4,31.08
"departamento","sierra",102.1,2,"no","sí","residencial",6,179,21.51
"casa","sierra",136.7,3,"no","sí","residencial",9,253.5,31.26
"departamento","sierra",98.3,7,"no","no","comercial",13,315.5,46.03
"casa","sierra",128.3,5,"no","no","residencial",8,190.3,26.19
"departamento","costa",77.6,4,"sí","no","comercial",7,258.9,38.07
"condominio","oriente",82.6,4,"no","no","comercial",7,131,24.69
"casa","oriente",159.6,3,"no","no","residencial",9,165,25.75
"departamento","sierra",83.1,3,"no","no","comercial",7,108.9,15.93
"departamento","costa",73.1,4,"sí","no","residencial",9,306.6,40.09
"casa","sierra",155.4,3,"no","no","residencial",5,153.5,19.03
"casa","sierra",153.7,3,"no","sí","comercial",9,335.9,45.71
"casa","costa",106.7,2,"sí","no","industrial",7,253.9,47.31
"casa","costa",119.9,3,"sí","no","comercial",6,279.3,38.48
"departamento","sierra",74.3,4,"no","no","industrial",7,252.2,45.49
"casa","sierra",139.1,3,"no","no","residencial",9,145.3,23.14
"casa","costa",113.7,4,"no","no","residencial",6,155.4,23.23
"departamento","costa",85.5,3,"sí","no","residencial",5,215.7,29.89
"casa","costa",120.8,7,"sí","no","comercial",11,316.9,45.7
"casa","costa",119.9,2,"no","no","residencial",6,137.8,16.83
"casa","sierra",100.5,7,"no","no","residencial",6,186.8,21.21
"casa","costa",122.9,3,"no","no","residencial",9,167.6,24.67
"condominio","sierra",109.1,6,"no","sí","residencial",8,305.4,39.09
"departamento","costa",80.8,4,"no","no","residencial",6,209.1,25.88
"casa","costa",112.6,2,"sí","no","industrial",10,189.6,32.29
"departamento","oriente",91.3,4,"no","no","comercial",4,122.8,18.23
"departamento","sierra",82.4,4,"no","no","residencial",6,186,23.16
"casa","sierra",136.7,5,"no","no","residencial",10,279.2,36.42
"departamento","costa",59.5,4,"no","no","residencial",3,120,16.43
"casa","oriente",158.9,4,"no","no","residencial",10,160.1,18.05
"departamento","costa",59.1,3,"sí","no","comercial",7,306.3,44.75
"casa","sierra",110.2,5,"sí","no","residencial",8,251.5,29.48
"condominio","costa",115,7,"sí","no","comercial",9,368.5,51.92
"casa","sierra",127.8,3,"no","sí","residencial",5,192.8,26.93
"casa","costa",90.3,4,"sí","no","residencial",7,207.6,29.7
"condominio","sierra",87.4,5,"no","no","residencial",6,167.4,25.5
"departamento","sierra",94.5,5,"no","sí","residencial",8,318,37.9
"casa","sierra",163,4,"no","sí","residencial",7,257,29.42
"casa","sierra",154.3,6,"no","sí","comercial",9,293.2,41.32
"casa","costa",159.1,3,"no","no","residencial",7,170.1,21.96
"casa","sierra",142.8,4,"no","no","residencial",6,165.7,25.72
"departamento","costa",89.7,2,"sí","no","residencial",2,288.8,36.56
"departamento","sierra",74.4,7,"sí","sí","comercial",11,441,55.92
"departamento","costa",93.5,1,"sí","no","residencial",11,259,34.82
"casa","costa",107.7,5,"sí","no","residencial",9,267.3,36.65
"departamento","costa",50,6,"no","no","comercial",9,204.1,28.6
"casa","sierra",144.2,7,"no","no","residencial",13,209.9,30.31
"casa","sierra",109.7,3,"no","no","residencial",8,141.9,19.91
"departamento","sierra",94.5,5,"no","sí","residencial",6,243.1,26.62
"condominio","sierra",65.5,1,"sí","no","residencial",8,206.5,27.91
"casa","sierra",50.7,3,"no","sí","industrial",9,226.6,40.82
"casa","sierra",117.7,4,"no","no","industrial",5,160.1,27.02
"casa","sierra",91.1,6,"no","no","residencial",5,225.8,29.29
"condominio","costa",92.6,5,"no","no","residencial",9,243.4,31.36
"casa","sierra",126.8,3,"no","no","industrial",6,145.2,25.88
"casa","oriente",109.3,2,"sí","no","comercial",8,295.9,38.58
"departamento","oriente",80.6,5,"no","no","industrial",9,234.7,37.45
"casa","sierra",105.5,6,"no","sí","residencial",12,354,41.39
"casa","sierra",98.1,3,"no","sí","residencial",11,297.2,33.54
"departamento","oriente",75.3,5,"no","no","comercial",10,210.6,34.19
"casa","sierra",140.3,1,"sí","sí","residencial",5,227.7,28.65
"casa","costa",98,3,"sí","no","industrial",5,260.1,42.77
"departamento","sierra",97.5,3,"no","sí","industrial",6,202.6,35.55
"casa","costa",109.1,3,"sí","no","residencial",5,248.7,32.47
"casa","costa",93.5,3,"sí","no","residencial",9,301.6,34.3
"casa","sierra",132.7,4,"sí","no","residencial",7,280.1,35.52
"departamento","costa",94.6,2,"sí","no","comercial",8,259,35.82
"casa","oriente",143.3,6,"sí","no","industrial",10,353.3,57.35
"departamento","costa",91.9,5,"no","no","residencial",11,188.4,25.23
"casa","costa",119.1,3,"no","no","residencial",10,231.4,31.29
"casa","sierra",150.4,2,"no","no","comercial",7,132.5,24.13
"departamento","sierra",71.3,3,"no","no","industrial",8,154.3,27.57
"casa","sierra",118.3,6,"sí","no","residencial",8,304.4,38.44
"casa","costa",113.4,6,"sí","no","residencial",9,342.1,42.3
"condominio","costa",114.9,4,"no","no","residencial",5,195.2,25.6
"casa","costa",112.5,5,"sí","no","industrial",6,276.5,49.41
"departamento","sierra",93,2,"sí","sí","residencial",8,343,42.94
"departamento","costa",51.3,2,"no","no","residencial",7,174.4,21.57
"departamento","oriente",64.4,3,"no","no","residencial",8,158.3,24.9
"condominio","sierra",105.9,4,"no","no","residencial",6,170.5,21.1
"casa","costa",123.9,3,"sí","no","residencial",8,252.4,35.21
"condominio","costa",86,5,"no","no","comercial",13,234.3,35.02
"departamento","costa",107.8,4,"no","no","residencial",11,179,25.08
"departamento","costa",96.4,1,"no","no","comercial",5,164.8,23.06
"casa","costa",121.7,3,"sí","no","residencial",6,248.7,27.03
"casa","oriente",125.9,4,"no","no","comercial",11,190.4,26.08
"casa","costa",114.6,3,"sí","no","residencial",8,292.7,32.34
"casa","sierra",144.3,3,"sí","sí","residencial",6,396.6,48.53
"departamento","sierra",87.4,5,"no","sí","residencial",5,272.2,30.77
"casa","costa",80,6,"sí","no","residencial",8,372.4,46.2
"casa","costa",120.6,5,"sí","no","residencial",6,272.8,33.64
"departamento","sierra",79,2,"no","no","industrial",4,144.8,26.57
"departamento","costa",59.7,1,"no","no","comercial",8,134.2,19.27
"casa","costa",112.6,5,"no","no","residencial",10,271.7,35.57
"departamento","costa",114.3,2,"sí","no","residencial",8,241.6,31.47
"casa","costa",170.7,2,"no","no","residencial",7,226.2,29.08
"casa","sierra",141.8,2,"no","sí","residencial",5,228.3,27.5
"condominio","oriente",91.1,3,"no","no","residencial",8,166.4,23.39
"departamento","costa",99.8,6,"sí","no","residencial",11,311.1,38.42
"departamento","oriente",94,5,"no","no","comercial",9,178.7,27.13
"casa","costa",155.2,3,"sí","no","industrial",12,284.3,50.18
"casa","sierra",107,2,"no","no","residencial",6,124.1,21.8
"departamento","costa",97.7,4,"no","no","residencial",9,201.4,26.46
"departamento","costa",132.4,4,"sí","no","residencial",5,297.2,32.15
"casa","costa",78,6,"sí","no","residencial",14,340,40.05
"casa","costa",137.6,4,"no","no","industrial",6,176.1,35.72
"departamento","costa",106.4,2,"sí","no","comercial",4,243.1,33.7
"departamento","costa",89.8,3,"sí","no","residencial",6,215.9,29.7
"casa","costa",131.5,4,"sí","no","residencial",8,289.2,38.01
"casa","sierra",104.9,4,"no","no","industrial",6,176.1,33.41
"departamento","costa",65.3,5,"sí","no","residencial",7,318.6,33.96
"departamento","costa",59.5,3,"no","no","residencial",8,181,26.03
"condominio","oriente",65.6,2,"sí","no","residencial",7,228.2,26.06
"casa","costa",128.7,3,"sí","no","industrial",8,295.2,47.47
"casa","costa",122.2,4,"sí","no","comercial",6,259.5,33.28
"departamento","costa",79.4,1,"no","no","residencial",5,107.1,16.38
"departamento","sierra",83.1,2,"no","sí","residencial",6,183.8,24.16
"condominio","oriente",91.7,4,"no","no","residencial",11,236.8,28.26
"casa","sierra",155.4,4,"sí","sí","residencial",7,373.3,41.22
"casa","sierra",127.1,6,"sí","sí","residencial",8,419.5,49.4
"casa","sierra",119.6,4,"no","no","comercial",9,187.6,32.45
"departamento","costa",58.8,4,"no","no","industrial",10,174.1,35.65
"departamento","sierra",60.4,4,"no","no","comercial",8,279.4,40.56
"casa","costa",105,4,"no","no","industrial",10,159.5,26.14
"departamento","sierra",89.4,1,"sí","no","residencial",5,184,22.03
"casa","costa",138.3,4,"sí","no","residencial",11,333.3,42.31
"casa","sierra",108.7,5,"no","no","residencial",7,182.8,21.19
"condominio","sierra",83.2,5,"no","sí","industrial",10,309.8,53.12
"casa","costa",105.4,4,"no","no","residencial",7,132,18.22
"departamento","sierra",58.3,3,"no","no","industrial",10,186.7,35.09
"casa","costa",122.2,4,"sí","no","comercial",8,228.8,29.56
"casa","costa",144.5,2,"no","no","residencial",5,122.8,15.94
"casa","sierra",67.9,3,"no","no","industrial",7,135.6,22.78
"casa","sierra",118.4,3,"no","no","residencial",8,175.2,21.06
"casa","costa",146.2,1,"sí","no","comercial",7,227.7,36.42
"casa","sierra",104.2,3,"no","no","residencial",4,140.8,17.33
"casa","costa",117.8,5,"sí","no","industrial",11,295.3,47.46
"departamento","sierra",95.9,4,"no","no","residencial",8,186.8,28.62
"casa","sierra",127.3,5,"no","sí","residencial",5,290.5,34.63
"casa","costa",126.6,6,"sí","no","comercial",10,344.5,50.98
"casa","sierra",74.3,3,"no","no","residencial",7,160.1,23.85
"departamento","costa",71.8,6,"sí","no","residencial",10,357.3,41.31
"departamento","sierra",76.2,4,"no","no","residencial",9,170.2,23.86
"departamento","costa",101.2,5,"sí","no","residencial",5,306.9,40.29
"departamento","costa",86.4,3,"no","no","residencial",9,188.4,26.44
"condominio","sierra",115.2,4,"no","no","industrial",7,163,26.9
"casa","sierra",137.1,7,"no","no","residencial",9,230.3,30.9
"casa","sierra",91,3,"no","no","residencial",8,183.9,27.14
"casa","costa",130.8,2,"sí","no","residencial",7,279,34.43
"casa","sierra",130.2,5,"no","no","residencial",8,187.4,23.43
"casa","sierra",94.2,4,"no","no","industrial",9,191.4,36.66
"casa","oriente",78.3,5,"sí","no","residencial",6,300.1,39.84
"departamento","sierra",84.9,3,"no","sí","residencial",6,246.9,30.98
"casa","costa",129.1,4,"sí","no","residencial",9,308.4,39.58
"casa","oriente",106.2,2,"no","no","residencial",7,131.8,22.26
"casa","sierra",140.5,4,"sí","no","comercial",11,279.4,35.83
"casa","costa",92.6,3,"sí","no","residencial",8,295.4,33.78
"casa","costa",158.7,4,"no","no","residencial",10,191.7,28.02
"casa","sierra",132.3,4,"no","sí","residencial",5,201.9,27.64
"casa","costa",149.8,4,"sí","no","residencial",8,278.5,30.28
"casa","sierra",136.3,6,"no","sí","comercial",9,352,45.05
"departamento","sierra",86.9,6,"no","no","comercial",7,157.9,28.76
"casa","costa",127.9,2,"no","no","industrial",10,88.9,16.08
"casa","oriente",145.7,3,"no","no","comercial",6,144.2,19.59
"departamento","costa",102.3,3,"sí","no","industrial",9,268.3,45.48
"casa","sierra",125,6,"no","sí","residencial",11,328.2,35.77
"departamento","costa",121,1,"no","no","residencial",10,95.4,13.74
"casa","costa",98.9,3,"sí","no","residencial",8,225,29
"casa","sierra",93.9,3,"no","no","residencial",7,160.1,20.03
"casa","costa",169.2,7,"no","no","residencial",4,221.8,26.14
"casa","sierra",104.1,3,"sí","no","comercial",8,292.3,44.19
"departamento","oriente",111.8,4,"sí","no","residencial",7,227.9,29.96
"casa","sierra",136.4,4,"no","no","comercial",10,187.5,27.22
"departamento","sierra",71.4,4,"no","no","industrial",11,206.6,33.8
"departamento","costa",80.3,3,"sí","no","residencial",4,217.9,31.1
"casa","sierra",112,6,"sí","no","residencial",9,278.9,30.46
"casa","sierra",122,3,"no","no","residencial",6,185.8,20.92
"casa","costa",110.1,2,"no","no","comercial",9,132.8,23.86
"casa","costa",98.5,4,"no","no","comercial",8,228.4,37.17
"condominio","sierra",113.8,3,"no","sí","residencial",8,287,33.33
"casa","costa",114.1,3,"no","no","industrial",7,156.2,28.31
"casa","costa",116.3,7,"sí","no","comercial",12,314.4,42.66
"departamento","sierra",73,7,"sí","sí","residencial",7,336.6,42.39
"departamento","sierra",86.9,3,"no","sí","residencial",10,279.1,36.31
"departamento","sierra",60.4,1,"no","sí","industrial",11,225,35.78
"departamento","costa",86.6,1,"no","no","industrial",8,195,32.28
"departamento","oriente",69.6,2,"sí","no","residencial",7,304.7,32.54
"departamento","costa",75.5,3,"sí","no","residencial",7,231,28.28
"departamento","oriente",70.1,1,"no","no","residencial",6,127.4,21.29
"departamento","costa",81.2,4,"no","no","residencial",8,178,20.6
"casa","sierra",128.8,3,"no","no","industrial",8,237.1,44.27
"casa","sierra",102.7,3,"no","no","comercial",11,233.4,37.41
"departamento","sierra",68.6,6,"no","sí","residencial",10,295.2,39.07
"departamento","sierra",77.4,5,"sí","no","residencial",9,276.4,35.09
"condominio","costa",68.1,7,"sí","no","residencial",10,368.9,44.2
"casa","costa",117.6,7,"no","no","industrial",12,210,37.66
"casa","costa",153,4,"no","no","residencial",10,213.1,24.62
"departamento","costa",72.8,6,"sí","no","residencial",8,356.5,44.03
"condominio","costa",99.2,4,"sí","no","residencial",8,291,36.22
"casa","oriente",98,4,"no","no","industrial",7,163.2,33.72
"casa","costa",113.3,3,"no","no","residencial",6,158.2,21.05
"condominio","costa",110.3,4,"sí","no","residencial",7,276.5,32.11
"casa","sierra",135.7,4,"no","no","residencial",8,185.4,27.01
"casa","sierra",123.2,5,"no","no","residencial",5,188.4,23.69
"casa","costa",115.3,5,"no","no","comercial",9,226,36.19
"casa","costa",96.5,2,"sí","no","comercial",4,229.8,34.22
"casa","costa",119.7,6,"no","no","comercial",9,228.9,36.01
"departamento","costa",86.2,1,"sí","no","residencial",5,194.3,27.89
"casa","oriente",112.4,4,"no","no","residencial",7,224.1,24.73
"departamento","sierra",98.9,2,"sí","no","industrial",5,241.7,43.17
"condominio","sierra",104.6,5,"no","no","residencial",7,243.9,29.51
"casa","sierra",100.9,7,"no","no","residencial",11,255,32
"casa","sierra",112.7,7,"sí","no","residencial",9,349,41.42
"casa","costa",107.4,3,"sí","no","residencial",8,304.4,35.84
"casa","costa",94.7,1,"sí","no","residencial",8,233.7,32.88
"casa","costa",97.3,3,"no","no","residencial",8,143.3,18.59
"casa","costa",113,5,"sí","no","residencial",9,313.4,37.22
"casa","costa",105.1,3,"sí","no","residencial",5,267.7,30.99
"departamento","costa",83,6,"sí","no","residencial",11,335.9,38.91
"casa","oriente",81.8,7,"sí","no","residencial",12,347.3,38.82
"casa","costa",92.7,6,"sí","no","residencial",10,301.5,37.74
"casa","oriente",147.4,5,"no","no","residencial",8,172.5,20.93
"casa","costa",112.8,5,"no","no","residencial",10,162.8,19.93
"casa","costa",125.2,3,"no","no","comercial",2,107.6,18.27
"casa","sierra",136,4,"sí","no","industrial",7,262.3,45.83
"casa","costa",118.6,2,"sí","no","residencial",7,269,28.97
"casa","sierra",144.6,3,"sí","sí","industrial",12,387.8,61.72
"casa","oriente",136.3,4,"no","no","residencial",6,202.4,27.2
"casa","sierra",160.9,2,"no","no","comercial",6,135.1,24.37
"departamento","sierra",98,4,"no","sí","residencial",7,249.6,28.26
"departamento","costa",118.6,3,"sí","no","residencial",7,213.1,23.45
"condominio","sierra",100.6,4,"no","no","residencial",8,215.6,27.13
"departamento","costa",56.8,3,"no","no","residencial",8,196.1,29.24
"departamento","costa",101.5,3,"sí","no","comercial",6,222.7,32.69
"departamento","sierra",73.9,4,"no","sí","residencial",8,259.2,35.76
"casa","oriente",129.6,3,"no","no","comercial",8,131.2,25.73
"casa","sierra",154.9,3,"sí","sí","residencial",6,374.9,40.09
"casa","costa",136,6,"sí","no","residencial",6,295.9,36.75
"casa","costa",90,5,"sí","no","comercial",9,265.8,36.46
"departamento","sierra",110.2,4,"no","sí","residencial",8,281.6,36.8
"departamento","sierra",94.7,5,"no","sí","residencial",8,271.6,35.51
"casa","sierra",117.9,3,"no","no","comercial",11,187.5,31.91
"departamento","sierra",66.6,4,"no","no","residencial",10,150,19.27
"casa","costa",119.2,2,"sí","no","residencial",8,258.3,33.41
"departamento","costa",54.1,4,"no","no","residencial",5,161.7,18.47
"departamento","costa",50,2,"no","no","residencial",5,136.5,18.4
"casa","sierra",104.4,3,"no","no","industrial",10,150.5,24.91
"casa","costa",119.3,3,"sí","no","residencial",10,270.9,31.39
"casa","costa",95.5,3,"sí","no","comercial",4,234.2,32.14
"casa","oriente",75.3,6,"no","no","comercial",11,223.5,30.21
"condominio","oriente",111.8,5,"sí","no","residencial",7,302.3,33.61
"condominio","sierra",84.4,1,"no","no","comercial",10,198.5,28.27
"casa","costa",120.9,6,"no","no","residencial",9,241.6,30.43
"casa","sierra",71.8,2,"no","no","comercial",8,146.5,25.39
"casa","sierra",135.9,4,"no","no","residencial",11,155.1,25.16
"departamento","sierra",61.7,2,"no","sí","residencial",9,184.4,20.64
"casa","sierra",144.1,3,"no","no","residencial",7,171.1,23.66
"casa","costa",121.3,7,"sí","no","residencial",12,373.8,47.19
"casa","costa",124.2,4,"sí","no","residencial",7,358.6,38.91
"casa","costa",125.9,5,"sí","no","residencial",9,324.1,39.11
"casa","costa",117.9,7,"sí","no","residencial",8,334.9,38.98
"casa","sierra",133,5,"no","no","residencial",9,200.7,24.52
"casa","costa",158.3,6,"sí","no","residencial",6,296.1,34.25
"casa","costa",126.2,4,"no","no","residencial",9,187.5,21.92
"casa","costa",117.4,4,"no","no","residencial",10,178,23.77
"casa","costa",115.8,3,"sí","no","residencial",10,288.2,36.67
"condominio","costa",76.1,7,"no","no","residencial",9,181.9,24.55
"casa","costa",123.5,4,"no","no","comercial",13,183.7,24.43
"casa","costa",91.8,5,"no","no","residencial",7,181.1,22.64
"departamento","costa",58.1,4,"sí","no","residencial",9,288.9,36.31
"departamento","sierra",108.3,4,"no","sí","residencial",5,272.6,36.26
"casa","sierra",89.3,4,"no","sí","residencial",9,236.7,27.88
"departamento","costa",122.6,6,"sí","no","comercial",10,338.9,46.61
"casa","oriente",134,6,"no","no","residencial",6,213.3,29.18
"departamento","sierra",115.3,5,"no","sí","comercial",9,314.6,43.17
"departamento","costa",89.1,4,"sí","no","residencial",9,284.2,35.12
"casa","costa",116.2,6,"no","no","residencial",10,255.7,35.12
"casa","sierra",153.8,2,"sí","no","comercial",7,238.9,34.17
"casa","oriente",120.4,4,"sí","no","residencial",7,295.4,38.32
"casa","sierra",111.6,3,"no","sí","industrial",5,257.2,43.44
"casa","costa",108.4,2,"no","no","residencial",10,133.8,18.8
"departamento","costa",69.1,2,"no","no","residencial",6,87.1,13.11
"casa","costa",129,2,"sí","no","residencial",9,245.6,30.62
"departamento","costa",87.9,4,"no","no","residencial",4,168.5,24.39
"condominio","costa",101.3,6,"no","no","residencial",13,229.8,25.23
"departamento","sierra",50,5,"no","sí","residencial",6,253.8,28.4
"casa","sierra",97.7,6,"no","sí","residencial",8,234.7,28.03
"casa","costa",74.7,2,"no","no","residencial",9,104.1,15.97
"casa","sierra",95.6,2,"sí","sí","residencial",8,286.6,33.98
"casa","costa",157,5,"sí","no","residencial",7,256.3,29.5
"departamento","costa",110.4,2,"sí","no","comercial",2,180.6,31.31
"casa","sierra",105.5,4,"sí","sí","residencial",8,356.6,38.44
"departamento","oriente",105,3,"no","no","residencial",6,159.9,22.77
"casa","costa",117.3,4,"sí","no","industrial",2,244,40.46
"departamento","sierra",76.4,7,"no","sí","residencial",9,346.7,38.94
"departamento","costa",101.1,4,"sí","no","residencial",9,334.4,37.28
"casa","costa",117.4,5,"no","no","residencial",7,197.5,22.54
"departamento","costa",104.2,3,"sí","no","industrial",7,271,49.89
"departamento","costa",85.9,1,"no","no","residencial",7,207,25.91
"casa","oriente",100.3,4,"no","no","comercial",4,152.2,21.52
